key,doi,stream,role,title,year,authors,container,volume,issue,first_page,last_page,type,openalex_id,cited_by_count,landing_page
allcott2024deactivation,10.1073/pnas.2321584121,platform-evidence,deactivation-experiment,The effects of Facebook and Instagram on the 2020 election: A deactivation experiment,2024,Hunt Allcott; Matthew Gentzkow; Winter Mason; Arjun Wilkins; Pablo Barberá; Taylor Brown; Juan Carlos Cisneros; Adriana Crespo-Tenorio; Drew Dimmery; Deen Freelon; Sandra González‐Bailón; Andrew M. Guess; Young Mie Kim; David Lazer; Neil Malhotra; Devra Moehler; Sameer Nair-Desai; Houda Nait El Barj; Brendan Nyhan; Ana Carolina Paixao de Queiroz; Jennifer Pan; Jaime E. Settle; Emily Thorson; Rebekah Tromble; Carlos Velasco Rivera; Benjamin Wittenbrink; Magdalena Wojcieszak; Saam Zahedian; Annie Franco; Chad Kiewiet de Jonge; Natalie Jomini Stroud; Joshua A. Tucker,Proceedings of the National Academy of Sciences,121,21,e2321584121,e2321584121,article,W4396852275,88,https://doi.org/10.1073/pnas.2321584121
kubin2021review,10.1080/23808985.2021.1976070,review,evidence-synthesis,The role of (social) media in political polarization: a systematic review,2021,Emily Kubin; Christian von Sikorski,Annals of the International Communication Association,45,3,188,206,review,W3199505005,584,https://doi.org/10.1080/23808985.2021.1976070
vanbavel2021shapes,10.1016/j.tics.2021.07.013,review,evidence-synthesis,How social media shapes polarization,2021,Jay Joseph Van Bavel; Steve Rathje; Elizabeth Harris; Claire Robertson; Anni Sternisko,Trends in Cognitive Sciences,25,11,913,916,article,W3195910376,187,https://doi.org/10.1016/j.tics.2021.07.013
hartmann2025review,10.1007/s42001-025-00381-z,review,echo-chambers,"A systematic review of echo chamber research: comparative analysis of conceptualizations, operationalizations, and varying outcomes",2025,David Hartmann; Sonja Mei Wang; Lena Pohlmann; Bettina Berendt,Journal of Computational Social Science,8,2,52,52,review,W4409203368,50,https://doi.org/10.1007/s42001-025-00381-z
mahmoudi2024review,10.1109/access.2024.3353054,review,echo-chambers,Echo Chambers in Online Social Networks: A Systematic Literature Review,2024,Amin Mahmoudi; Dariusz Jemielniak; Leon Ciechanowski,IEEE Access,12,,9594,9620,review,W4390806175,42,https://doi.org/10.1109/access.2024.3353054
gao2024causal,10.1016/j.xinn.2024.100590,review,causal-recommendation,A survey on causal inference for recommendation,2024,Huishi Luo; Fuzhen Zhuang; Ruobing Xie; Hengshu Zhu; Deqing Wang; Zhulin An; Yongjun Xu,The Innovation,5,2,100590,100590,article,W4391650579,41,https://doi.org/10.1016/j.xinn.2024.100590
ge2024trustworthy,10.1145/3652891,review,recommender-governance,A Survey on Trustworthy Recommender Systems,2024,Yingqiang Ge; Shuchang Liu; Zuohui Fu; Juntao Tan; Zelong Li; Shuyuan Xu; Yunqi Li; Yikun Xian; Yongfeng Zhang,ACM Transactions on Recommender Systems,3,2,1,68,article,W4394785778,71,https://doi.org/10.1145/3652891
aridor2024economics,10.1257/jel.20241743,review,platform-economics,The Economics of Social Media,2024,Guy Aridor; Rafael Jiménez-Durán; Roee Levy; Lena Song,Journal of Economic Literature,62,4,1422,1474,article,W4405075149,65,https://doi.org/10.1257/jel.20241743
noorazar2020survey,10.1140/epjp/s13360-020-00541-2,review,opinion-dynamics,Recent advances in opinion propagation dynamics: a 2020 survey,2020,Hossein Noorazar,The European Physical Journal Plus,135,6,521,521,article,W3015346007,184,https://doi.org/10.1140/epjp/s13360-020-00541-2
hudgens2008interference,10.1198/016214508000000292,causal-design,network-interference,Toward Causal Inference With Interference,2008,Michael G. Hudgens; M. Elizabeth Halloran,Journal of the American Statistical Association,103,482,832,842,article,W2012797835,788,https://doi.org/10.1198/016214508000000292
aronow2017interference,10.1214/16-aoas1005,causal-design,network-interference,"Estimating average causal effects under general interference, with application to a social network experiment",2017,Peter M. Aronow; Cyrus Samii,The Annals of Applied Statistics,11,4,,,article,W2735728227,249,https://doi.org/10.1214/16-aoas1005
liu2026saturation,10.48550/arxiv.2607.04257,causal-design,saturation-randomization,Randomization Tests in Randomized Saturation Designs,2026,Jizhou Liu; Azeem M. Shaikh; Liang Zhong,arXiv preprint arXiv:2607.04257,,,,,preprint,W7167594543,0,https://doi.org/10.48550/arxiv.2607.04257
bojinov2023switchback,10.1287/mnsc.2022.4583,causal-design,switchback-design,Design and Analysis of Switchback Experiments,2023,Iavor Bojinov; David Simchi‐Levi; Jinglong Zhao,Management Science,69,7,3759,3777,article,W4307794299,50,https://doi.org/10.1287/mnsc.2022.4583
wang2024carryover,10.1093/biomtc/ujae023,causal-design,carryover,Behavioral carry-over effect and power consideration in crossover trials,2024,Danni Shi; Ting Ye,Biometrics,80,2,ujae023,ujae023,article,W4393529247,13,https://doi.org/10.1093/biomtc/ujae023
sun2025dynamic,10.1002/sim.70070,causal-design,dynamic-effects,Dynamic Treatment Effect Analysis in Crossover Designs Through Repeated Measures,2025,Jianping Sun; Peiran Guo; Xiaoyang Chen; Xianming Tan,Statistics in Medicine,44,7,e70070,e70070,article,W4409368776,1,https://doi.org/10.1002/sim.70070
wu2021randomization,10.1080/01621459.2020.1750415,causal-design,weak-null-randomization,Randomization Tests for Weak Null Hypotheses in Randomized Experiments,2021,Jason Wu; Peng Ding,Journal of the American Statistical Association,116,536,1898,1913,article,W2990094494,35,https://doi.org/10.1080/01621459.2020.1750415
athey2019forests,10.1214/18-aos1709,causal-design,heterogeneity,Generalized random forests,2019,Susan Athey; Julie Tibshirani; Stefan Wager,The Annals of Statistics,47,2,,,article,W2730059782,16,https://doi.org/10.1214/18-aos1709
