key,doi,stream,role
flaxman2016bubbles,10.1093/poq/nfw006,platform-evidence,observational-evidence
cho2020search,10.1080/08838151.2020.1757365,platform-evidence,experiment
neumann2023curation,10.1016/j.chbr.2023.100343,platform-evidence,experiment
brady2026norms,10.1038/s41586-026-10536-1,platform-evidence,field-experiment
ibrahim2026tiktok,10.1038/s41586-026-10447-1,platform-evidence,algorithm-audit
bandy2021twitter,10.1177/20563051211041648,platform-evidence,algorithm-audit
muchnik2013influence,10.1126/science.1240466,platform-evidence,randomized-experiment
bond2012mobilization,10.1038/nature11421,platform-evidence,randomized-experiment
allcott2024deactivation,10.1073/pnas.2321584121,platform-evidence,deactivation-experiment
bail2018opposing,10.1073/pnas.1804840115,platform-evidence,experiment
bojinov2023switchback,10.1287/mnsc.2022.4583,causal-design,switchback-design
wang2024carryover,10.1093/biomtc/ujae023,causal-design,carryover
sun2025dynamic,10.1002/sim.70070,causal-design,dynamic-effects
hudgens2008interference,10.1198/016214508000000292,causal-design,network-interference
aronow2017interference,10.1214/16-aoas1005,causal-design,network-interference
athey2019forests,10.1214/18-aos1709,causal-design,heterogeneity
kubin2021review,10.1080/23808985.2021.1976070,review,evidence-synthesis
vanbavel2021shapes,10.1016/j.tics.2021.07.013,review,evidence-synthesis
noorazar2020survey,10.1140/epjp/s13360-020-00541-2,review,opinion-dynamics
hartmann2025review,10.1007/s42001-025-00381-z,review,echo-chambers
mahmoudi2024review,10.1109/access.2024.3353054,review,echo-chambers
gao2024causal,10.1016/j.xinn.2024.100590,review,causal-recommendation
ge2024trustworthy,10.1145/3652891,review,recommender-governance
aridor2024economics,10.1257/jel.20241743,review,platform-economics
chan2026brake,10.1002/sres.70126,recommender-feedback,closest-conceptual-precedent
bakcoleman2025actionable,10.48550/arxiv.2505.09254,review,closest-conceptual-causal-predecessor
bakcoleman2025rct,10.1038/s44159-025-00475-5,causal-design,rct-identification-critique
hassani2014survey,10.1016/j.ymssp.2014.04.012,social-hysteresis,classical-identification-review
preisach1935magnetic,10.1007/BF01349418,social-hysteresis,classical-operator-foundation
macki1993mathematical,10.1137/1035005,social-hysteresis,mathematical-model-review
sethna1993hierarchies,10.1103/physrevlett.70.3347,social-hysteresis,return-point-foundation
mungan2019returnpoint,10.1007/s00023-019-00807-1,social-hysteresis,return-point-theory
oh2005duhem,10.1109/tac.2005.847035,social-hysteresis,rate-dependent-control-model
krejci2001inverse,10.1049/ip-cta:20010375,social-hysteresis,inverse-control
ikhouane2007systems,10.1002/9780470513200,social-hysteresis,identification-control-monograph
coppolillo2025drift,10.1016/j.ipm.2025.104125,recommender-feedback,algorithmic-drift
chandrasekaran2026networkaware,10.1109/tac.2025.3616262,algorithmic-opinion,network-aware-feedback-control
asikainen2020cumulative,10.1126/sciadv.aax7310,adaptive-networks,topological-hysteresis
davidson2026closedloop,10.1109/tcss.2026.3715162,algorithmic-opinion,recommender-opinion-closed-loop
depasquale2026control,10.48550/arxiv.2605.01503,recommender-feedback,control-systems-perspective
mariano2026optimal,10.48550/arxiv.2603.10275,algorithmic-opinion,optimal-network-control
mariano2026pathological,10.48550/arxiv.2607.05010,algorithmic-opinion,pathological-control-regimes
wu2021randomization,10.1080/01621459.2020.1750415,causal-design,weak-null-randomization
liu2026saturation,10.48550/arxiv.2607.04257,causal-design,saturation-randomization
